branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,ref-cycles,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-stores,branch-load-misses,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,label
17924,2350,10221,30786,37028,339963,83694,1278000,3566,22534,13932,24691,0,0,0,0,0,0,0,0,1
17872945,567202,573088,386882,1425756,78940166,158216140,76037250,470595,28406554,13031959,449816,14986,14411,55800,12053,0,0,0,0,1
14435,2216,9328,26271,35447,310204,79136,1165875,3418,20851,13018,23201,0,0,0,0,0,0,0,0,1
30812,4143,13943,49464,67015,673083,145218,1742875,5794,38311,24490,0,0,0,0,0,0,0,0,0,1
453360,59949,221212,603386,992138,8443288,2357171,27651750,80354,624430,405753,567033,0,0,0,0,0,0,0,0,1
71606003,451058,4452729,945172,2037877,263186922,394693744,555367065,246346,106592267,70908205,1011645,83095,34610,482768,9029,82153215,741,48403015,218924,1
9378184,299809,968756,893140,3647379,50239634,45972569,119679250,1002641,12262130,6960895,1588915,296529,474091,0,0,0,0,0,0,1
6901161647,36206539,115677088,1821443,159806351,21897461810,30308129246,14452208438,288967416,7918042818,5165633142,447706606,12104902,25290492,36399300,42856,7993863447,10398,5215244299,23642330,1
32626,4308,17744,54049,68337,590072,150690,2217875,6134,40292,25042,36820,0,0,0,0,0,0,0,0,1
16290,2156,9165,26593,34430,304819,72889,1145625,3265,19331,12099,0,0,0,0,0,0,0,0,0,1
16440,2247,9824,25322,35736,326757,73878,1228250,3214,19465,12195,0,0,0,0,0,0,0,0,0,1
16621,2195,8555,27966,35951,340901,75112,1069500,3159,19776,12424,0,0,0,0,0,0,0,0,0,1
16399,2039,8528,25070,33586,314151,73705,1066125,3300,19425,12181,0,0,0,0,0,0,0,0,0,1
16443,2037,9233,26435,34677,307000,73900,1153750,3256,19472,12198,0,0,0,0,0,0,0,0,0,1
16291,2260,9247,26275,36004,307558,72906,1156125,3433,19334,12109,0,0,0,0,0,0,0,0,0,1
285351,33715,130431,336418,568532,4559094,1446896,16396000,46128,383526,236341,334704,25087,6836,0,0,0,0,0,0,1
36437,4504,17558,48051,65099,605395,157947,2195250,5776,41440,26506,0,0,0,0,0,0,0,0,0,1
31423,3180,8123,31157,52894,711934,154068,1015250,5038,42548,26066,0,0,0,0,0,0,0,0,0,1
16955,2288,8845,26297,35621,322528,76472,1105500,3476,20522,12639,0,0,0,0,0,0,0,0,0,1
31097,4324,13966,50033,69583,634568,146223,1745625,5988,38730,24682,0,0,0,0,0,0,0,0,0,1
53072,5796,23941,63624,94889,837506,261668,2992625,10088,71235,43311,0,0,0,0,0,0,0,0,0,1
5713649,117265,853338,381605,1244562,28547906,36580601,107047375,757013,10243886,5922589,2946338,87069,55010,112185,3571,0,0,0,0,1
5716507,106937,716574,300570,1220003,25616126,32854598,92458875,659918,9129046,5282117,2541655,96187,49185,92845,0,0,0,0,0,1
41818,5606,23979,64971,92527,797519,266648,2997625,10132,72440,44225,57230,0,0,0,0,0,0,0,0,1
16292,2164,9366,28320,34249,311459,72909,1170750,3170,19333,12104,0,0,0,0,0,0,0,0,0,1
9072,2212,9582,25788,35369,318652,77002,1197750,3512,20563,12845,21974,0,0,0,0,0,0,0,0,1
16948,2373,9190,25292,36338,321962,76422,1149250,3370,20395,12744,0,0,0,0,0,0,0,0,0,1
16325,2232,9841,28245,37166,327290,73026,1230250,3228,19364,12117,0,0,0,0,0,0,0,0,0,1
30692,4035,17480,52159,66187,581391,144287,2185250,5672,38223,24004,0,0,0,0,0,0,0,0,0,1
2702045,119571,508443,431602,1401458,17449017,16215111,63317000,308708,4465612,2268105,652414,110502,30854,79692,0,0,0,0,0,1
5217464,101547,781355,334702,1104704,26063746,33033194,97833250,654975,9200234,5325983,2669109,89531,48298,104597,4240,0,0,0,0,1
1776081042,8958609,34784002,7620658,589434117,5737096459,10482904518,4349433210,255739670,1758783993,588939039,201843380,36096390,6892212,9052862,395266,1761404520,42379,625912551,5984695,1
9907642,209726,1653549,721258,2703779,55050594,62266060,206494000,1371542,17720505,9945728,4936272,220020,116413,221444,23764,0,0,0,0,1
16489,2218,9367,27181,36702,311512,74198,1171000,3354,19656,12330,0,0,0,0,0,0,0,0,0,1
16633,2048,8949,25846,33939,297585,75167,1118625,3236,19784,12429,0,0,0,0,0,0,0,0,0,1
18675,2454,8576,29808,38796,411090,83597,1072250,3655,22065,13906,0,0,0,0,0,0,0,0,0,1
31323,4195,17727,49792,68607,589631,148055,2216625,5973,39218,24599,0,0,0,0,0,0,0,0,0,1
607483,14268,27226,70156,233747,3691894,3281344,3403125,46692,909066,489493,0,0,0,0,0,0,0,0,0,1
16626,2132,7785,23664,34513,340871,75141,973250,3227,19783,12410,0,0,0,0,0,0,0,0,0,1
8161318,180275,1419409,485937,2274330,47931871,60325098,179478355,1218512,17053127,9912760,4702515,169863,115008,185748,6723,0,0,0,0,1
16455,2256,7623,23758,35881,370649,73953,953000,3278,19485,12202,0,0,0,0,0,0,0,0,0,1
30390,4179,18048,55927,68821,600206,142476,2256125,5844,37680,24035,0,0,0,0,0,0,0,0,0,1
16550,2112,8857,23370,35258,294539,74709,1107125,3321,19571,12256,0,0,0,0,0,0,0,0,0,1
16430,2245,8140,26962,36608,344969,73822,1017500,3213,19457,12185,0,0,0,0,0,0,0,0,0,1
14863035,1534104,4778645,2865242,65011121,841051761,588137083,615499747,24471245,127803100,77563407,780745,19099910,929940,3334723,2605107,112355066,555622,100408620,265,1
38553,3306,10652,31298,53749,542282,198490,1331625,5176,54227,32477,0,0,0,0,0,0,0,0,0,1
16943,2222,9327,25947,34855,310156,76355,1165625,3261,20379,12735,0,0,0,0,0,0,0,0,0,1
30587,3148,10243,32262,52232,528964,149513,1280625,4854,40978,25237,0,0,0,0,0,0,0,0,0,1
30474,4260,17406,55077,69363,614447,143202,2176125,5659,37636,24052,0,0,0,0,0,0,0,0,0,1
8000488,321080,1414169,889627,3704594,47093492,45918907,176869000,1006925,12241991,6950279,1780133,227717,361277,0,0,0,0,0,0,1
17336,2268,9801,26370,35442,326015,78042,1225375,3302,20768,12937,0,0,0,0,0,0,0,0,0,1
17076,2234,9282,25823,35980,308709,77294,1160125,3515,20720,12791,0,0,0,0,0,0,0,0,0,1
16604,2262,9005,25685,35164,299578,75058,1126000,3296,19760,12403,0,0,0,0,0,0,0,0,0,1
34333,3205,11037,29254,52611,543272,172155,1379750,5228,47523,28730,0,0,0,0,0,0,0,0,0,1
17240,2333,9263,24812,37224,308035,78166,1157750,3472,20961,12915,0,0,0,0,0,0,0,0,0,1
14507,2360,6792,27429,37190,408073,78288,848750,3441,20873,13068,24678,0,0,0,0,0,0,0,0,1
111413888,1850604,5665314,3860174,18549368,641215084,853527595,715547741,11797985,236928460,158577745,61443838,1202488,1875237,1965644,41968,255610619,5528,135704265,1184404,1
18476,2449,9799,29831,38532,344168,82271,1225125,3478,21737,13676,0,0,0,0,0,0,0,0,0,1
16427,2282,9614,28189,36766,319791,73829,1202000,3257,19456,12187,0,0,0,0,0,0,0,0,0,1
