L1-dcache-stores,LLC-loads,dTLB-stores,L1-dcache-load-misses,cache-references,dTLB-store-misses,L1-dcache-loads,L1-icache-load-misses,LLC-stores,branch-instructions,branch-loads,branch-load-misses,branch-misses,cache-misses,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,instructions,Class
9027205,821325,6517582,1474825,2081003,39573,8903225,766435,79873,5396400,5396400,257637,292601,303790,70414021,160459,9860512,40112,31244082,0
8411187,866165,9321185,1624703,2476139,42204,10609805,911616,86213,6013576,6013576,295970,288490,332027,72175521,192058,10807432,41500,34231596,0
9016461,1018646,12342636,1533574,2120007,37155,13206902,831877,77832,5709771,5709771,252069,249109,292312,63087236,147035,11136489,37528,41884685,0
12694981,1166625,14913706,2075012,3931886,55511,23539747,1460315,145871,13748154,13748154,568394,906120,652918,275169349,380768,22196826,74714,78763034,0
106084340,3288810,105249712,11540502,5357009,95191,94713192,3113073,407295,56886446,56673567,1132440,1932181,657099,458495505,759860,106086198,356462,424454919,0
4887898,435835,6694196,614682,1274618,18471,8871116,441854,66921,4658562,4658562,216989,242155,279640,62928041,142939,9538496,22300,30204776,0
6958317,431078,6911590,852698,1212306,19439,11391645,551508,74323,4978448,4978448,241163,268628,346172,65728410,165450,9310843,20762,29654574,0
7978258,430333,5195376,574561,920374,15605,10750142,353766,62268,4744914,4744914,217394,234369,275588,78733311,137627,9687975,17721,37501753,0
66038443,1435142,55919488,3171150,1729559,29493,20899307,895175,138683,13161642,13161642,525427,877989,505399,255326040,360959,24450490,73171,90449959,0
11490215,513402,15466077,885066,967804,16671,9258909,345313,547597,98209617,97701832,3929066,3841256,505043,495496550,715564,14653964,39734,54798015,0
5301744,344321,6298373,753445,749824,12402,8222017,370813,80234,5400713,5400713,263140,228251,259732,56970138,146938,9370023,26059,29632010,0
8601127,451527,5228976,946691,1088860,17969,11152998,553738,88593,6005798,6005798,290292,286188,331610,68393191,180401,9362853,25781,29767720,0
8505820,445880,9149659,844874,768333,11008,2482503,227791,76392,5679708,5679708,244687,244538,286689,67685684,138978,9695254,20013,37390697,0
9142743,515392,11802561,1026156,2654029,30826,25322655,1133797,181501,15921660,15921660,614933,861898,474393,250072863,350760,24896414,88897,92220270,0
177099427,6546355,192200038,16009144,21859855,473647,423895261,11631501,553676,99595426,99496907,4064839,4262942,537221,565176717,758146,291662875,600260,1045063750,0
5026574,358942,7044283,677395,761666,15602,4892299,217472,76020,5451833,5451833,260995,261814,290361,61434130,153543,8339482,23009,27215016,0
9277094,852033,9139238,1612416,1206034,18902,8577167,471642,87382,6013451,6013451,287654,288085,301469,67822324,181331,9491018,25889,29986331,0
5552578,350142,5326030,565446,683542,13263,8890814,303699,78055,5701667,5701667,246926,253311,312102,62756235,149968,9676848,21144,37500141,0
22847301,1244555,22296799,2949396,2686206,39511,25501665,1286947,146079,13995101,13995827,604740,839735,537290,254732242,357943,20915320,54056,75243414,0
176707935,4829543,157624876,23779632,2470466,59571,102116147,932164,513995,68787637,68669389,2527237,3341525,661030,486680637,704212,32328534,76644,110275211,0
