branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,ref-cycles,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-stores,branch-load-misses,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,label
3262,463,1694,3625,6861,65202,14558,199000,616,3869,2421,4546,303,29,399,67,3895,5,2438,100,0
4170,567,2057,4312,7214,63341,14586,238125,564,3860,2416,4447,325,42,455,72,3884,5,2432,112,0
3256,368,1332,5407,7214,60112,14731,226125,641,3871,2430,4486,328,37,452,67,3894,5,2440,97,0
3266,440,761,5024,5993,56039,14776,210500,592,3860,2416,4547,352,38,503,82,3894,5,2440,143,0
3311,456,1755,3968,7082,57777,14768,217125,608,3901,2443,4436,335,31,471,74,3864,8,2416,109,0
3253,437,776,3593,6277,60824,14770,228625,67898,1260522,659073,126014,309,46,468,72,3849,5,2415,98,0
3246,465,1709,3535,7292,68426,14590,257375,590,3880,2427,4011,322,43,445,77,3874,6,2425,117,0
3284,464,1952,5667,7130,107028,14572,94000,557,3862,2416,3281,342,42,457,70,3888,5,2432,107,0
3683,502,1900,4129,7420,65219,14613,245250,602,3886,2432,4438,311,38,444,70,3870,8,2424,109,0
3256,455,1813,4369,7141,57960,14771,217875,618,3891,2440,4568,292,50,449,67,3862,4,2416,115,0
3647,521,1994,4774,6233,58134,14605,218500,576,3866,2424,4484,306,45,460,63,3899,7,2447,109,0
